Model,silhouette,davies_bouldin,calinski_harabasz,ari,nmi,n_clusters,BIC,AIC
KMeans,0.3035415056624518,1.1610857838441033,2298.8628433518898,-0.0612684301852652,0.050622146470336096,2,,
DBSCAN,0.1693616206320188,1.4066975602655898,1181.272498872069,-0.0487008914391169,0.04897813252963689,4,,
Hierarchical,0.30562418849640177,1.1252751637245182,2291.7439521303995,-0.06595466703513005,0.057750076813234165,2,,
GaussianMixture,0.3033126481164039,1.166178259704583,2298.1974005626384,-0.060366091993211135,0.04870020975425324,2,-390080.15696678235,-398435.6048268637
Spectral,0.3035415056624518,1.1610857838441033,2298.8628433518898,-0.0612684301852652,0.050622146470336096,2,,
