Model,Accuracy,Precision,Recall,F1,AUC,Training_Time
Linear_SVM_Tuned,0.808374733853797,0.6925925925925925,0.5,0.5807453416149069,0.8423415743108837,
LinearSVM,0.8090844570617459,0.6951672862453532,0.5,0.5816485225505443,0.842240822547728,0.017747163772583008
RBF_SVM_Tuned,0.7977288857345636,0.678714859437751,0.45187165775401067,0.5425361155698234,0.835942545661216,
Nu_SVM,0.7828246983676366,0.6976744186046512,0.32085561497326204,0.43956043956043955,0.8205701516443205,1.658897876739502
Polynomial_SVM,0.801277501774308,0.6958333333333333,0.446524064171123,0.5439739413680782,0.8161151153478521,1.325911045074463
SVM_PCA,0.7998580553584103,0.6755725190839694,0.4732620320855615,0.5566037735849056,0.8001937533906843,
RBF_SVM,0.7998580553584103,0.676923076923077,0.47058823529411764,0.555205047318612,0.7995918261902917,1.6138169765472412
Sigmoid_SVM,0.7253371185237757,0.4812680115273775,0.446524064171123,0.463245492371706,0.7387713451652071,1.1949660778045654
